trade_date,open,high,low,close,volume,mkt_cap
2015-11-11,34.82,34.82,34.82,34.82,459.42,227896.9
2015-11-12,38.3,38.3,38.3,38.3,148.32,250673.5
2015-11-13,42.13,42.13,42.13,42.13,84.2,275740.85
2015-11-16,46.34,46.34,46.34,46.34,61.31,303295.3
2015-11-17,50.97,50.97,50.97,50.97,592.6,333598.65
2015-11-18,56.07,56.07,56.07,56.07,89.31,366978.15
2015-11-19,61.68,61.68,61.68,61.68,34.04,403695.6
2015-11-20,67.85,67.85,67.85,67.85,238.2,444078.25
2015-11-23,74.64,74.64,74.64,74.64,70.6,488518.8
2015-11-24,82.1,82.1,82.1,82.1,108.96,537344.5
2015-11-25,90.31,90.31,90.31,90.31,143.95,591078.95
2015-11-26,99.34,99.34,99.34,99.34,1061.66,650180.3
2015-11-27,109.27,109.27,109.27,109.27,750.69,715172.15
2015-11-30,120.2,120.2,120.2,120.2,433.88,786709.0
2015-12-01,132.22,132.22,132.22,132.22,333.92,865379.9
2015-12-02,145.44,145.44,145.44,145.44,1271.67,951904.8
2015-12-03,159.98,159.98,159.98,159.98,1722.33,1047069.1
2015-12-04,175.98,175.98,175.98,175.98,2455.67,1151789.1
2015-12-07,193.58,193.58,193.58,193.58,48977.37,1266981.1
2015-12-08,212.94,212.94,207.41,212.94,67595.02,1393692.3
2015-12-14,211.0,228.14,203.0,207.18,73649.54,1355993.1
2015-12-15,196.0,227.9,192.0,227.3,73095.89,1487678.5
2015-12-16,220.0,231.1,208.0,212.73,63189.82,1392317.85
2015-12-17,210.0,218.37,209.61,213.01,42637.88,1394150.45
2015-12-18,209.0,219.51,208.11,209.86,46813.6,1373533.7
2015-12-21,205.91,207.87,189.35,195.91,45657.78,1282230.95
2015-12-22,194.99,200.79,189.97,196.55,28645.94,1286419.75
2015-12-23,195.99,197.67,182.24,185.1,37874.22,1211479.5
2015-12-24,184.5,190.0,183.3,185.3,29545.32,1212788.5
2015-12-25,184.0,189.0,181.03,184.55,27724.5,1207879.75
2015-12-28,187.0,193.19,183.8,184.38,34450.28,1206767.1
2015-12-29,185.76,185.76,169.5,172.69,37815.6,1130256.05
2015-12-30,172.0,174.65,167.21,172.62,24670.61,1129797.9
2015-12-31,172.0,174.49,161.51,162.09,27318.52,1060879.05
2016-01-04,162.0,162.0,145.88,145.88,22152.89,954784.6
