cal_date,open,high,low,close,volume,mkt_cap
2015-01-05,76.0,100.0,76.0,100.0,523737.77,0.0
2015-01-06,76.0,100.0,76.0,100.0,523737.77,0.0
2015-01-07,76.0,100.0,76.0,100.0,523737.77,0.0
2015-01-08,76.0,100.0,76.0,100.0,523737.77,0.0
2015-01-09,76.0,100.0,76.0,100.0,523737.77,0.0
2015-01-12,76.0,100.0,76.0,100.0,523737.77,0.0
2015-01-13,76.0,100.0,76.0,100.0,523737.77,0.0
2015-01-14,76.0,100.0,76.0,100.0,523737.77,0.0
2015-01-15,76.0,100.0,76.0,100.0,523737.77,0.0
2015-01-16,76.0,100.0,76.0,100.0,523737.77,0.0
2015-01-19,76.0,100.0,76.0,100.0,523737.77,0.0
2015-01-20,76.0,100.0,76.0,100.0,523737.77,0.0
2015-01-21,76.0,100.0,76.0,100.0,523737.77,0.0
2015-01-22,76.0,100.0,76.0,100.0,523737.77,0.0
2015-01-23,76.0,100.0,76.0,100.0,523737.77,0.0
2015-01-26,76.0,100.0,76.0,100.0,523737.77,0.0
2015-01-27,76.0,100.0,76.0,100.0,523737.77,0.0
2015-01-28,76.0,100.0,76.0,100.0,523737.77,0.0
2015-01-29,76.0,100.0,76.0,100.0,523737.77,0.0
2015-01-30,76.0,100.0,76.0,100.0,523737.77,0.0
2015-02-02,76.0,100.0,76.0,100.0,523737.77,0.0
2015-02-03,76.0,100.0,76.0,100.0,523737.77,0.0
2015-02-04,76.0,100.0,76.0,100.0,523737.77,0.0
2015-02-05,76.0,100.0,76.0,100.0,523737.77,0.0
2015-02-06,76.0,100.0,76.0,100.0,523737.77,0.0
2015-02-09,76.0,100.0,76.0,100.0,523737.77,0.0
2015-02-10,76.0,100.0,76.0,100.0,523737.77,0.0
2015-02-11,76.0,100.0,76.0,100.0,523737.77,0.0
2015-02-12,76.0,100.0,76.0,100.0,523737.77,0.0
2015-02-13,76.0,100.0,76.0,100.0,523737.77,0.0
2015-02-16,76.0,100.0,76.0,100.0,523737.77,0.0
2015-02-17,76.0,100.0,76.0,100.0,523737.77,0.0
2015-02-25,76.0,100.0,76.0,100.0,523737.77,0.0
2015-02-26,76.0,100.0,76.0,100.0,523737.77,0.0
2015-02-27,76.0,100.0,76.0,100.0,523737.77,0.0
2015-03-02,76.0,100.0,76.0,100.0,523737.77,0.0
2015-03-03,76.0,100.0,76.0,100.0,523737.77,0.0
2015-03-04,76.0,100.0,76.0,100.0,523737.77,0.0
2015-03-05,76.0,100.0,76.0,100.0,523737.77,0.0
2015-03-06,76.0,100.0,76.0,100.0,523737.77,0.0
2015-03-09,76.0,100.0,76.0,100.0,523737.77,0.0
2015-03-10,76.0,100.0,76.0,100.0,523737.77,0.0
2015-03-11,76.0,100.0,76.0,100.0,523737.77,0.0
2015-03-12,76.0,100.0,76.0,100.0,523737.77,0.0
2015-03-13,76.0,100.0,76.0,100.0,523737.77,0.0
2015-03-16,76.0,100.0,76.0,100.0,523737.77,0.0
2015-03-17,76.0,100.0,76.0,100.0,523737.77,0.0
2015-03-18,76.0,100.0,76.0,100.0,523737.77,0.0
2015-03-19,76.0,100.0,76.0,100.0,523737.77,0.0
2015-03-20,76.0,100.0,76.0,100.0,523737.77,0.0
