cal_date,open,high,low,close,volume,mkt_cap
2015-01-05,8.11,8.24,7.98,8.22,70383.08,347520.3398
2015-01-06,8.2,8.49,8.09,8.37,87790.41,353861.9518
2015-01-07,8.38,8.4,8.24,8.32,63925.01,351748.0812
2015-01-08,8.3,8.38,8.25,8.29,51755.69,350479.7587
2015-01-09,8.27,8.4,8.23,8.26,54972.0,349211.4363
2015-01-12,8.27,8.47,8.26,8.36,88090.47,353439.1777
2015-01-13,8.32,8.44,8.25,8.4,66476.24,355130.2742
2015-01-14,8.37,8.39,8.27,8.29,36448.39,350479.7587
2015-01-15,8.3,8.36,8.29,8.32,41549.53,351748.0812
2015-01-16,8.41,8.44,8.31,8.34,47227.01,352593.6294
2015-01-19,8.19,8.19,7.53,7.78,82890.36,328918.2778
2015-01-20,7.79,7.95,7.79,7.94,59319.76,335682.664
2015-01-21,8.02,8.19,7.97,8.18,65948.23,345829.2432
2015-01-22,8.2,8.34,8.12,8.32,76335.24,351748.0812
2015-01-23,8.3,8.6,8.3,8.39,122786.58,354707.5001
2015-01-26,8.33,8.47,8.31,8.47,68052.31,358089.6932
2015-01-27,8.47,8.59,8.37,8.56,91581.21,361894.6604
2015-01-28,8.48,8.68,8.43,8.52,72464.2,360203.5639
2015-01-29,8.36,8.94,8.36,8.58,156899.78,362740.2087
2015-01-30,8.58,8.74,8.47,8.49,85770.43,358935.2415
2015-02-02,8.38,8.56,8.32,8.5,52190.53,359358.0156
2015-02-03,8.51,8.72,8.47,8.67,78132.36,366545.1759
2015-02-04,8.68,8.69,8.45,8.45,73858.0,357244.1449
2015-02-05,8.55,8.55,8.4,8.42,52839.04,355975.8225
2015-02-06,8.4,8.45,8.27,8.29,37326.54,350479.7587
2015-02-09,8.19,8.27,8.09,8.11,43408.01,342869.8243
2015-02-10,8.11,8.24,8.05,8.21,26265.37,347097.5657
2015-02-11,8.27,8.43,8.21,8.4,36140.81,355130.2742
2015-02-12,8.4,8.52,8.35,8.42,46696.16,355975.8225
2015-02-13,8.48,8.59,8.43,8.54,66340.86,361049.1121
2015-02-16,8.52,8.65,8.51,8.6,63363.73,363585.757
2015-02-17,8.68,8.77,8.61,8.72,103110.73,368659.0466
2015-02-25,8.76,8.84,8.68,8.72,100482.25,368659.0466
2015-02-26,8.69,8.94,8.69,8.87,116435.91,375000.6586
2015-02-27,8.86,8.95,8.78,8.92,103991.8,377114.5293
2015-03-02,8.92,9.46,8.85,9.44,279994.24,399098.7844
2015-03-03,9.4,9.76,9.3,9.42,336934.72,398253.2361
2015-03-04,9.48,9.55,9.35,9.5,155405.96,401635.4292
2015-03-05,9.55,9.67,9.41,9.46,122875.62,399944.3327
2015-03-06,9.46,9.53,9.17,9.18,125165.0,388106.6568
2015-03-09,9.25,9.64,9.12,9.54,143748.92,403326.5257
2015-03-10,9.55,9.77,9.44,9.64,161658.4,407554.2671
2015-03-11,10.1,10.3,9.71,9.73,308090.17,411359.2343
2015-03-12,9.54,9.93,9.51,9.66,159157.35,408399.8154
2015-03-13,9.74,9.96,9.64,9.92,162514.23,419391.9429
2015-03-16,10.12,10.91,10.02,10.91,260286.39,461246.5824
2015-03-17,11.37,11.96,11.25,11.71,636142.79,495068.5133
2015-03-18,11.55,12.5,11.5,11.99,524489.85,506906.1891
2015-03-19,11.76,12.36,11.76,12.32,425360.9,520857.7356
2015-03-20,12.37,12.68,12.08,12.46,444677.41,526776.5735
2015-03-23,12.52,13.54,12.2,13.36,502135.56,564826.2457
2015-03-24,13.19,13.19,12.3,12.87,453204.32,544110.313
2015-03-25,12.73,13.3,12.38,12.92,355320.76,546224.1837
2015-03-26,12.81,12.81,12.16,12.2,292450.32,515784.4459
2015-03-27,12.5,13.0,12.12,12.57,353702.26,531427.089
2015-03-30,12.29,12.44,11.98,12.13,394826.74,512825.027
2015-03-31,12.3,12.31,11.9,12.19,254252.58,515361.6718
2015-04-01,12.19,12.3,12.0,12.27,236085.17,518743.8649
2015-04-02,12.3,12.45,12.1,12.37,270463.51,522971.6062
2015-04-03,12.27,12.53,12.12,12.43,285234.43,525508.251
2015-04-07,12.47,12.7,12.35,12.68,331647.8,536077.6044
2015-04-08,12.75,12.77,12.12,12.27,241003.38,518743.8649
2015-04-09,12.3,13.5,12.08,13.14,550281.19,555525.2147
2015-04-10,12.8,12.95,12.41,12.81,329930.54,541573.6682
2015-04-13,12.74,13.02,12.56,12.83,282430.07,542419.2165
2015-04-14,12.83,13.16,12.65,13.09,299334.43,553411.344
2015-04-15,13.16,13.43,12.35,12.4,308221.48,524239.9286
2015-04-16,12.0,12.42,11.5,12.17,228347.18,514516.1235
2015-04-17,12.22,12.38,12.0,12.28,203428.47,519166.639
2015-04-20,12.2,12.25,11.63,11.68,197456.12,493800.1908
2015-04-21,11.65,12.14,11.57,12.02,159667.48,508174.5115
2015-04-22,12.02,12.44,12.02,12.37,206189.41,522971.6062
2015-04-23,12.46,12.98,12.4,12.68,264963.27,536077.6044
2015-04-24,12.57,13.87,12.47,13.64,456288.36,576663.9215
2015-04-27,13.55,14.47,13.38,14.18,450164.4,599493.7248
2015-04-28,13.98,13.98,12.99,13.25,305362.21,560175.7302
2015-04-29,12.98,13.36,12.73,13.25,189885.63,560175.7302
2015-04-30,13.24,13.54,13.02,13.09,157459.89,553411.344
2015-05-04,12.98,13.16,12.75,13.03,147969.34,550874.6992
2015-05-05,13.16,13.16,12.1,12.14,158593.66,513247.8011
2015-05-06,12.16,12.51,11.88,12.08,97446.11,510711.1563
2015-05-07,12.0,12.14,11.57,11.63,92463.55,491686.3202
2015-05-08,11.82,12.19,11.72,12.17,116703.87,514516.1235
2015-05-11,12.28,12.63,12.15,12.59,138921.59,532272.6372
2015-05-12,12.68,13.2,12.45,12.99,184491.37,549183.6027
2015-05-13,12.85,13.18,12.57,12.89,182896.98,544955.8613
2015-05-14,12.8,13.78,12.8,13.76,333931.88,581737.2111
2015-05-15,13.67,13.67,13.1,13.43,237122.83,567785.6646
2015-05-18,13.62,14.19,13.5,13.53,280059.16,572013.406
2015-05-19,13.39,14.1,13.0,13.93,247073.62,588924.3714
2015-05-20,14.0,14.58,13.74,14.1,299667.36,596111.5318
2015-05-21,14.11,14.56,13.94,14.41,263013.49,609217.53
2015-05-22,14.69,14.9,14.03,14.41,285225.45,609217.53
2015-05-25,14.4,14.69,14.11,14.57,293803.87,615981.9162
2015-05-26,14.6,16.03,14.33,16.03,402536.3,677706.94
2015-05-27,16.5,17.63,15.6,17.63,469490.76,745350.8018
2015-05-28,17.25,17.79,15.87,15.87,363903.86,670942.5538
2015-05-29,15.78,16.3,14.41,15.4,248329.27,651072.1694
2015-06-01,15.51,16.6,14.95,16.29,227903.86,688699.0675
2015-06-02,15.51,16.6,14.95,16.29,227903.86,0.0
2015-06-03,15.51,16.6,14.95,16.29,227903.86,0.0
2015-06-04,15.51,16.6,14.95,16.29,227903.86,0.0
2015-06-05,15.51,16.6,14.95,16.29,227903.86,0.0
2015-06-08,15.51,16.6,14.95,16.29,227903.86,0.0
2015-06-09,15.51,16.6,14.95,16.29,227903.86,0.0
2015-06-10,15.51,16.6,14.95,16.29,227903.86,0.0
2015-06-11,15.51,16.6,14.95,16.29,227903.86,0.0
2015-06-12,15.51,16.6,14.95,16.29,227903.86,0.0
2015-06-15,15.51,16.6,14.95,16.29,227903.86,0.0
2015-06-16,15.51,16.6,14.95,16.29,227903.86,0.0
2015-06-17,15.51,16.6,14.95,16.29,227903.86,0.0
2015-06-18,15.51,16.6,14.95,16.29,227903.86,0.0
2015-06-19,15.51,16.6,14.95,16.29,227903.86,0.0
2015-06-23,15.51,16.6,14.95,16.29,227903.86,0.0
2015-06-24,15.51,16.6,14.95,16.29,227903.86,0.0
2015-06-25,15.51,16.6,14.95,16.29,227903.86,0.0
2015-06-26,15.51,16.6,14.95,16.29,227903.86,0.0
2015-06-29,15.51,16.6,14.95,16.29,227903.86,0.0
2015-06-30,15.51,16.6,14.95,16.29,227903.86,0.0
2015-07-01,15.51,16.6,14.95,16.29,227903.86,0.0
2015-07-02,15.51,16.6,14.95,16.29,227903.86,0.0
2015-07-03,15.51,16.6,14.95,16.29,227903.86,0.0
2015-07-06,15.51,16.6,14.95,16.29,227903.86,0.0
2015-07-07,15.51,16.6,14.95,16.29,227903.86,0.0
2015-07-08,15.51,16.6,14.95,16.29,227903.86,0.0
2015-07-09,15.51,16.6,14.95,16.29,227903.86,0.0
2015-07-10,15.51,16.6,14.95,16.29,227903.86,0.0
2015-07-13,15.51,16.6,14.95,16.29,227903.86,0.0
2015-07-14,15.51,16.6,14.95,16.29,227903.86,0.0
2015-07-15,15.51,16.6,14.95,16.29,227903.86,0.0
2015-07-16,15.51,16.6,14.95,16.29,227903.86,0.0
2015-07-17,15.51,16.6,14.95,16.29,227903.86,0.0
2015-07-20,15.51,16.6,14.95,16.29,227903.86,0.0
2015-07-21,15.51,16.6,14.95,16.29,227903.86,0.0
2015-07-22,15.51,16.6,14.95,16.29,227903.86,0.0
2015-07-23,15.51,16.6,14.95,16.29,227903.86,0.0
2015-07-24,15.51,16.6,14.95,16.29,227903.86,0.0
2015-07-27,15.51,16.6,14.95,16.29,227903.86,0.0
2015-07-28,15.51,16.6,14.95,16.29,227903.86,0.0
2015-07-29,15.51,16.6,14.95,16.29,227903.86,0.0
2015-07-30,15.51,16.6,14.95,16.29,227903.86,0.0
2015-07-31,15.51,16.6,14.95,16.29,227903.86,0.0
2015-08-03,15.51,16.6,14.95,16.29,227903.86,0.0
2015-08-04,15.51,16.6,14.95,16.29,227903.86,0.0
2015-08-05,15.51,16.6,14.95,16.29,227903.86,0.0
2015-08-06,15.51,16.6,14.95,16.29,227903.86,0.0
2015-08-07,15.51,16.6,14.95,16.29,227903.86,0.0
