trade_date,open,high,low,close,volume,mkt_cap
2015-01-05,8.5,8.74,8.2,8.52,3000855.72,10925729.9143
2015-01-06,8.3,8.8,8.26,8.68,2071232.78,11130907.9409
2015-01-07,8.58,9.55,8.43,9.55,2891643.49,12246563.4603
2015-01-08,9.8,10.51,9.5,9.9,4977010.38,12695390.3934
2015-01-09,9.56,9.95,9.35,9.41,3213530.52,12067032.6871
2015-01-12,9.1,9.21,8.7,8.8,1918340.72,11284791.4608
2015-01-13,8.94,9.48,8.87,9.06,2824802.6,11618205.754
2015-01-14,9.15,9.28,8.7,9.16,1751803.16,11746442.0206
2015-01-15,9.13,9.35,8.89,9.25,1459758.61,11861854.6605
2015-01-16,9.9,10.1,9.5,9.55,3301714.51,12246563.4603
2015-01-19,8.8,9.28,8.63,8.88,2161419.56,11387380.4741
2015-01-20,9.0,9.29,8.89,9.18,1602107.23,11772089.2739
2015-01-21,9.22,9.96,9.09,9.88,2376310.86,12669743.1401
2015-01-22,9.91,9.94,9.62,9.79,1808122.4,12554330.5001
2015-01-23,9.81,10.77,9.71,10.28,3594371.35,13182688.2065
2015-01-26,10.35,11.08,10.15,10.8,2965725.84,13849516.7928
2015-01-27,10.88,11.26,10.33,11.01,3195683.88,14118812.9527
2015-01-28,10.75,10.89,10.56,10.64,1663013.92,13644338.7662
2015-01-29,10.9,11.66,10.69,11.45,3131312.23,14683052.5257
2015-01-30,11.45,11.47,10.86,10.93,2362928.88,14016223.9394
2015-02-02,10.11,10.6,10.0,10.13,1792090.08,12990333.8066
2015-02-03,10.24,10.48,10.12,10.36,1182611.83,13285277.2198
2015-02-04,10.47,10.72,10.2,10.39,1560661.91,13323748.0997
2015-02-05,10.6,10.65,10.04,10.19,1486207.88,13067275.5665
2015-02-06,10.21,10.4,10.06,10.26,1186549.74,13157040.9532
2015-02-09,10.2,10.21,9.23,9.35,1904125.23,11990090.9271
2015-02-10,9.29,9.58,9.06,9.57,935464.31,12272210.7136
2015-02-11,9.58,9.72,9.5,9.62,797909.28,12336328.8469
2015-02-12,9.65,9.74,9.34,9.59,1018617.14,12297857.9669
2015-02-13,9.59,9.98,9.46,9.79,1326609.32,12554330.5001
2015-02-16,9.82,9.82,9.64,9.69,1065810.22,12426094.2335
2015-02-17,9.71,9.77,9.65,9.7,781001.41,12438917.8602
2015-02-25,9.7,9.75,9.51,9.57,639663.57,12272210.7136
2015-02-26,9.55,9.9,9.4,9.89,1362913.99,12682566.7667
2015-02-27,9.9,10.19,9.8,10.11,1533801.28,12964686.5533
2015-03-02,10.21,10.42,9.99,10.34,1549608.93,13259629.9664
2015-03-03,10.29,11.1,10.13,10.54,2532637.03,13516102.4996
2015-03-04,10.75,11.0,10.4,10.64,1851230.31,13644338.7662
2015-03-05,10.55,10.58,10.05,10.24,1629951.33,13131393.6998
2015-03-06,10.21,10.35,10.1,10.13,759556.65,12990333.8066
2015-03-09,10.1,10.16,9.77,10.14,970200.02,13003157.4332
2015-03-10,10.14,10.5,9.96,10.35,1269530.43,13272453.5931
2015-03-12,10.88,11.33,10.4,10.66,2929181.0,13669986.0196
2015-03-13,10.64,10.64,10.4,10.55,1362951.83,13528926.1263
2015-03-16,10.56,10.75,10.54,10.73,1426497.28,13759751.4062
2015-03-17,10.79,10.97,10.66,10.83,1946030.19,13887987.6728
2015-03-18,10.78,10.98,10.68,10.92,2217333.32,14003400.3127
2015-03-19,10.93,11.34,10.73,11.09,3172811.83,14221401.9659
2015-03-20,11.09,11.19,10.8,10.87,2409714.48,13939282.1794
2015-03-23,10.78,10.97,10.71,10.91,2288302.09,13990576.6861
2015-03-24,11.18,11.5,10.9,11.35,4213259.55,14554816.2591
2015-03-25,11.31,11.31,10.9,11.02,2381824.69,14131636.5793
2015-03-26,10.96,10.99,10.72,10.78,1596839.67,13823869.5395
2015-03-27,10.79,10.88,10.73,10.78,1175914.95,13823869.5395
2015-03-30,10.99,11.34,10.95,11.23,3236441.72,14400932.7392
2015-03-31,11.25,11.25,10.87,10.92,2468035.06,14003400.3127
2015-04-01,10.9,11.24,10.87,11.06,1992641.28,14182931.086
2015-04-02,11.06,11.85,11.01,11.71,4510283.46,15016466.8189
