date,open,close,high,low,volume
2020-01-02,4121.35,4152.24,4172.66,4121.35,18211.68
2020-01-03,4161.22,4144.96,4164.3,4131.86,14282.62
2020-01-06,4120.52,4129.3,4170.64,4102.38,17531.0
2020-01-07,4137.4,4160.23,4161.25,4135.1,13948.9
2020-01-08,4139.63,4112.32,4149.81,4101.98,16758.59
2020-01-09,4145.53,4164.37,4165.66,4143.59,13688.63
2020-01-10,4177.58,4163.18,4180.98,4148.48,11303.17
2020-01-13,4166.93,4203.99,4203.99,4148.6,11969.2
2020-01-14,4215.16,4189.89,4223.51,4188.08,12932.08
2020-01-15,4186.88,4166.73,4193.87,4150.88,10463.31
2020-01-16,4174.82,4149.04,4175.29,4142.18,10026.76
2020-01-17,4162.19,4154.85,4177.03,4141.64,9872.57
2020-01-20,4170.74,4185.83,4185.96,4149.49,12240.91
2020-01-21,4165.02,4114.31,4165.02,4113.33,13052.75
2020-01-22,4093.8,4131.93,4141.18,4046.49,12675.88
2020-01-23,4093.32,4003.9,4103.52,3972.39,16035.76
2020-02-03,3639.91,3688.36,3732.16,3639.91,15755.96
2020-02-04,3652.0,3785.64,3786.86,3652.0,21393.33
2020-02-05,3801.1,3828.53,3866.01,3781.61,17492.55
2020-02-06,3841.75,3899.78,3914.92,3806.96,17646.22
2020-02-07,3879.55,3899.87,3899.88,3849.71,15173.18
2020-02-10,3872.37,3916.01,3920.17,3861.01,14840.7
2020-02-11,3926.42,3952.46,3970.52,3915.71,14344.17
2020-02-12,3945.67,3984.43,3984.43,3940.67,12671.03
2020-02-13,3985.88,3959.92,3999.55,3950.14,14500.18
2020-02-14,3954.23,3987.73,4001.56,3954.02,14323.98
2020-02-17,3999.65,4077.42,4077.45,3999.65,18277.9
2020-02-18,4069.83,4057.51,4076.39,4027.79,16323.62
2020-02-19,4049.59,4051.31,4085.17,4042.85,16904.64
2020-02-20,4062.9,4144.66,4148.53,4055.81,21223.26
2020-02-21,4134.87,4149.49,4184.44,4130.17,21721.36
2020-02-24,4131.84,4132.84,4149.01,4097.18,21286.93
2020-02-25,4066.3,4123.85,4126.71,4020.91,24416.78
2020-02-26,4070.1,4073.02,4132.78,4061.13,26109.41
2020-02-27,4084.08,4084.88,4110.53,4067.44,18129.1
2020-02-28,3988.73,3940.05,4031.15,3928.07,23027.51
2020-03-02,3968.84,4069.67,4092.54,3968.84,21931.36
2020-03-03,4125.14,4091.36,4147.65,4067.91,21936.98
2020-03-04,4078.5,4115.05,4115.26,4060.73,18242.47
2020-03-05,4150.21,4206.73,4215.85,4127.04,23182.31
2020-03-06,4158.2,4138.51,4181.31,4135.39,17247.57
2020-03-09,4063.08,3997.13,4063.08,3995.13,20810.2
2020-03-10,3975.23,4082.73,4093.0,3954.75,19741.64
2020-03-11,4090.93,4028.43,4091.27,4028.4,16165.61
2020-03-12,3976.11,3950.91,3987.43,3926.27,15706.05
2020-03-13,3771.01,3895.31,3937.18,3765.15,18829.67
2020-03-16,3899.86,3727.84,3899.86,3720.51,18596.83
2020-03-17,3739.78,3709.68,3786.89,3618.31,16624.61
2020-03-18,3729.69,3636.26,3775.85,3636.26,15503.75
2020-03-19,3623.79,3589.09,3647.99,3503.19,18080.74
2020-03-20,3629.51,3653.22,3663.95,3588.78,13960.3
2020-03-23,3542.68,3530.31,3585.8,3523.79,13710.88
2020-03-24,3598.65,3625.11,3627.76,3545.45,14310.3
2020-03-25,3711.48,3722.52,3732.65,3685.99,15349.6
2020-03-26,3692.61,3698.05,3736.25,3681.27,11231.07
2020-03-27,3746.39,3710.06,3758.78,3709.92,12406.1
2020-03-30,3657.46,3674.11,3690.64,3637.59,12687.67
2020-03-31,3708.14,3686.16,3716.07,3676.2,11145.3
2020-04-01,3682.3,3675.08,3731.78,3670.97,11935.26
2020-04-02,3656.32,3734.53,3734.53,3652.32,11516.82
2020-04-03,3721.48,3713.22,3738.83,3698.98,9982.51
2020-04-07,3779.91,3798.02,3803.63,3772.21,14277.8
2020-04-08,3776.42,3780.34,3793.0,3767.29,11138.95
2020-04-09,3798.49,3792.81,3801.72,3785.31,10048.5
2020-04-10,3794.84,3769.18,3824.74,3758.96,10244.5
2020-04-13,3751.71,3753.26,3769.88,3740.19,7905.33
2020-04-14,3777.83,3825.7,3825.76,3764.98,11063.76
2020-04-15,3820.85,3797.36,3829.8,3793.44,10846.2
2020-04-16,3777.8,3802.38,3807.36,3774.56,9594.8
2020-04-17,3831.92,3839.49,3863.45,3821.42,13200.43
2020-04-20,3845.46,3853.46,3853.8,3831.55,10001.31
2020-04-21,3838.23,3808.05,3838.23,3780.0,10292.19
2020-04-22,3789.13,3839.38,3839.38,3782.21,8589.95
2020-04-23,3851.91,3829.75,3857.47,3826.56,9550.85
2020-04-24,3826.31,3796.97,3827.21,3787.07,9484.41
2020-04-27,3808.02,3822.77,3842.87,3793.77,9546.27
2020-04-28,3835.35,3849.15,3859.68,3768.2,12209.35
2020-04-29,3837.51,3867.03,3880.74,3833.72,9585.46
2020-04-30,3880.41,3912.58,3921.7,3880.41,13291.71
