,日期,指数代码,指数名称,指数英文名称,成分券代码,成分券名称,成分券英文名称,交易所,交易所英文名称
0,2026-06-15,000300,沪深300,CSI 300,000001,平安银行,"Ping An Bank Co., Ltd.",深圳证券交易所,Shenzhen Stock Exchange
1,2026-06-15,000300,沪深300,CSI 300,000002,万科A,China Vanke Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
2,2026-06-15,000300,沪深300,CSI 300,000063,中兴通讯,ZTE Corporation,深圳证券交易所,Shenzhen Stock Exchange
3,2026-06-15,000300,沪深300,CSI 300,000100,TCL科技,TCL Technology Group Corporation,深圳证券交易所,Shenzhen Stock Exchange
4,2026-06-15,000300,沪深300,CSI 300,000157,中联重科,Zoomlion Heavy Industry Science & Technology Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
5,2026-06-15,000300,沪深300,CSI 300,000166,申万宏源,"Shenwan Hongyuan Group CO., LTD",深圳证券交易所,Shenzhen Stock Exchange
6,2026-06-15,000300,沪深300,CSI 300,000301,东方盛虹,"Jiangsu Eastern Shenghong Co.,Ltd.",深圳证券交易所,Shenzhen Stock Exchange
7,2026-06-15,000300,沪深300,CSI 300,000333,美的集团,"Midea Group CO., LTD",深圳证券交易所,Shenzhen Stock Exchange
8,2026-06-15,000300,沪深300,CSI 300,000338,潍柴动力,Wei Chai Power Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
9,2026-06-15,000300,沪深300,CSI 300,000408,藏格矿业,ZANGGE MINING COMPANY LIMITED,深圳证券交易所,Shenzhen Stock Exchange
10,2026-06-15,000300,沪深300,CSI 300,000425,徐工机械,XCMG Construction Machinery Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
11,2026-06-15,000300,沪深300,CSI 300,000538,云南白药,"Yunnan Baiyao Group Co., Ltd.",深圳证券交易所,Shenzhen Stock Exchange
12,2026-06-15,000300,沪深300,CSI 300,000568,泸州老窖,Luzhou Lao Jiao Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
13,2026-06-15,000300,沪深300,CSI 300,000596,古井贡酒,Anhui Gujing Distillery Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
14,2026-06-15,000300,沪深300,CSI 300,000617,中油资本,CNPC Capital Company Limited,深圳证券交易所,Shenzhen Stock Exchange
15,2026-06-15,000300,沪深300,CSI 300,000625,长安汽车,Chongqing Changan Automobile Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
16,2026-06-15,000300,沪深300,CSI 300,000630,铜陵有色,Tongling Nonferrous Metals Group Co. Ltd,深圳证券交易所,Shenzhen Stock Exchange
17,2026-06-15,000300,沪深300,CSI 300,000651,格力电器,"Gree Electric Appliances,Inc. of Zhuhai",深圳证券交易所,Shenzhen Stock Exchange
18,2026-06-15,000300,沪深300,CSI 300,000657,中钨高新,China Tungsten and Hightech Materials Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
19,2026-06-15,000300,沪深300,CSI 300,000708,中信特钢,"CITIC Pacific Special Steel Group Co., Ltd",深圳证券交易所,Shenzhen Stock Exchange
20,2026-06-15,000300,沪深300,CSI 300,000725,京东方A,BOE Technology Group Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
21,2026-06-15,000300,沪深300,CSI 300,000768,中航西飞,AVIC XI'AN AIRCRAFT INDUSTRY GROUP COMPANY LTD.,深圳证券交易所,Shenzhen Stock Exchange
22,2026-06-15,000300,沪深300,CSI 300,000776,广发证券,"GF Securities Co., Ltd.",深圳证券交易所,Shenzhen Stock Exchange
23,2026-06-15,000300,沪深300,CSI 300,000792,盐湖股份,Qinghai Salt Lake Industry Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
24,2026-06-15,000300,沪深300,CSI 300,000807,云铝股份,Yunnan Aluminium Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
25,2026-06-15,000300,沪深300,CSI 300,000858,五 粮 液,Wuliangye Yibin Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
26,2026-06-15,000300,沪深300,CSI 300,000895,双汇发展,Henan Shuanghui Investment & Development Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
27,2026-06-15,000300,沪深300,CSI 300,000938,紫光股份,"Unisplendour Co., Ltd.",深圳证券交易所,Shenzhen Stock Exchange
28,2026-06-15,000300,沪深300,CSI 300,000963,华东医药,Huadong Medicine Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
29,2026-06-15,000300,沪深300,CSI 300,000975,山金国际,"Shanjin International Gold Co.,Ltd.",深圳证券交易所,Shenzhen Stock Exchange
30,2026-06-15,000300,沪深300,CSI 300,000977,浪潮信息,"Inspur Electronic Information Industry Co.,Ltd",深圳证券交易所,Shenzhen Stock Exchange
31,2026-06-15,000300,沪深300,CSI 300,000988,华工科技,Huagong Tech Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
32,2026-06-15,000300,沪深300,CSI 300,000999,华润三九,China Resources Sanjiu Medical & Pharmaceutical Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
33,2026-06-15,000300,沪深300,CSI 300,001280,中国铀业,"China National Uranium Co., Ltd.",深圳证券交易所,Shenzhen Stock Exchange
34,2026-06-15,000300,沪深300,CSI 300,001391,国货航,"Air China Cargo Co., Ltd.",深圳证券交易所,Shenzhen Stock Exchange
35,2026-06-15,000300,沪深300,CSI 300,001965,招商公路,"China Merchants Expressway Network Technology Holdings Co., Ltd.",深圳证券交易所,Shenzhen Stock Exchange
36,2026-06-15,000300,沪深300,CSI 300,001979,招商蛇口,"CHINA MERCHANTS SHEKOU INDUSTRIAL ZONE HOLDINGS CO.,LTD",深圳证券交易所,Shenzhen Stock Exchange
37,2026-06-15,000300,沪深300,CSI 300,002001,新和成,Zhejiang NHU Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
38,2026-06-15,000300,沪深300,CSI 300,002027,分众传媒,"Focus Media Information Technology Co., Ltd.",深圳证券交易所,Shenzhen Stock Exchange
