,symbol
0,000001.SZ
1,000002.SZ
2,000063.SZ
3,000100.SZ
4,000157.SZ
5,000166.SZ
6,000301.SZ
7,000333.SZ
8,000338.SZ
9,000408.SZ
10,000425.SZ
11,000538.SZ
12,000568.SZ
13,000596.SZ
14,000617.SZ
15,000625.SZ
16,000630.SZ
17,000651.SZ
18,000661.SZ
19,000708.SZ
20,000725.SZ
21,000768.SZ
22,000776.SZ
23,000786.SZ
24,000792.SZ
25,000800.SZ
26,000807.SZ
27,000858.SZ
28,000876.SZ
29,000895.SZ
30,000938.SZ
31,000963.SZ
32,000975.SZ
33,000977.SZ
34,000983.SZ
35,000999.SZ
36,001289.SZ
37,001391.SZ
38,001965.SZ
39,001979.SZ
40,002001.SZ
41,002027.SZ
42,002028.SZ
43,002049.SZ
44,002050.SZ
45,002074.SZ
46,002129.SZ
47,002142.SZ
48,002179.SZ
49,002180.SZ
50,002230.SZ
51,002236.SZ
52,002241.SZ
53,002252.SZ
54,002304.SZ
55,002311.SZ
56,002352.SZ
57,002371.SZ
58,002384.SZ
59,002415.SZ
60,002422.SZ
61,002459.SZ
62,002460.SZ
63,002463.SZ
64,002466.SZ
65,002475.SZ
66,002493.SZ
67,002594.SZ
68,002600.SZ
69,002601.SZ
70,002625.SZ
71,002648.SZ
72,002709.SZ
73,002714.SZ
74,002736.SZ
75,002916.SZ
76,002920.SZ
77,002938.SZ
78,003816.SZ
79,300014.SZ
80,300015.SZ
81,300033.SZ
82,300059.SZ
83,300122.SZ
84,300124.SZ
85,300251.SZ
86,300274.SZ
87,300308.SZ
88,300316.SZ
89,300347.SZ
90,300394.SZ
91,300408.SZ
92,300413.SZ
93,300418.SZ
94,300433.SZ
95,300442.SZ
96,300476.SZ
97,300498.SZ
98,300502.SZ
99,300628.SZ
100,300661.SZ
101,300750.SZ
102,300759.SZ
103,300760.SZ
104,300782.SZ
105,300803.SZ
106,300832.SZ
107,300866.SZ
108,300896.SZ
109,300979.SZ
110,300999.SZ
111,301236.SZ
112,301269.SZ
113,302132.SZ
114,600000.SH
115,600009.SH
116,600010.SH
117,600011.SH
118,600015.SH
119,600016.SH
120,600018.SH
121,600019.SH
122,600023.SH
123,600025.SH
124,600026.SH
125,600027.SH
126,600028.SH
127,600029.SH
128,600030.SH
129,600031.SH
130,600036.SH
131,600039.SH
132,600048.SH
133,600050.SH
134,600061.SH
135,600066.SH
136,600085.SH
137,600089.SH
138,600104.SH
139,600111.SH
140,600115.SH
141,600150.SH
142,600160.SH
143,600161.SH
144,600176.SH
145,600183.SH
146,600188.SH
147,600196.SH
148,600219.SH
149,600233.SH
150,600276.SH
151,600309.SH
152,600332.SH
153,600346.SH
154,600362.SH
155,600372.SH
156,600377.SH
157,600406.SH
158,600415.SH
159,600426.SH
160,600436.SH
161,600438.SH
162,600460.SH
163,600482.SH
164,600489.SH
165,600515.SH
166,600519.SH
167,600522.SH
168,600547.SH
169,600570.SH
170,600584.SH
171,600585.SH
172,600588.SH
173,600600.SH
174,600660.SH
175,600674.SH
176,600690.SH
177,600741.SH
178,600760.SH
179,600795.SH
180,600803.SH
181,600809.SH
182,600845.SH
183,600875.SH
184,600886.SH
185,600887.SH
186,600893.SH
187,600900.SH
188,600905.SH
189,600918.SH
190,600919.SH
191,600926.SH
192,600930.SH
193,600938.SH
194,600941.SH
195,600958.SH
196,600989.SH
197,600999.SH
198,601006.SH
199,601009.SH
200,601012.SH
201,601018.SH
202,601021.SH
203,601058.SH
204,601059.SH
205,601066.SH
206,601077.SH
207,601088.SH
208,601100.SH
209,601111.SH
210,601117.SH
211,601127.SH
212,601136.SH
213,601138.SH
214,601166.SH
215,601169.SH
216,601186.SH
217,601211.SH
218,601225.SH
219,601229.SH
220,601236.SH
221,601238.SH
222,601288.SH
223,601298.SH
224,601318.SH
225,601319.SH
226,601328.SH
227,601336.SH
228,601360.SH
229,601377.SH
230,601390.SH
231,601398.SH
232,601456.SH
233,601600.SH
234,601601.SH
235,601607.SH
236,601618.SH
237,601628.SH
238,601633.SH
239,601658.SH
240,601668.SH
241,601669.SH
242,601688.SH
243,601689.SH
244,601698.SH
245,601699.SH
246,601728.SH
247,601766.SH
248,601788.SH
249,601799.SH
250,601800.SH
251,601808.SH
252,601816.SH
253,601818.SH
254,601825.SH
255,601838.SH
256,601857.SH
257,601865.SH
258,601868.SH
259,601872.SH
260,601877.SH
261,601878.SH
262,601881.SH
263,601888.SH
264,601898.SH
265,601899.SH
266,601901.SH
267,601916.SH
268,601919.SH
269,601939.SH
270,601985.SH
271,601988.SH
272,601989.SH
273,601995.SH
274,601998.SH
275,603019.SH
276,603195.SH
277,603259.SH
278,603260.SH
279,603288.SH
280,603296.SH
281,603369.SH
282,603392.SH
283,603501.SH
284,603799.SH
285,603806.SH
286,603833.SH
287,603893.SH
288,603986.SH
289,603993.SH
290,605117.SH
291,605499.SH
292,688008.SH
293,688009.SH
294,688012.SH
295,688036.SH
296,688041.SH
297,688047.SH
298,688082.SH
299,688111.SH
300,688126.SH
301,688169.SH
302,688187.SH
303,688223.SH
304,688256.SH
305,688271.SH
306,688303.SH
307,688396.SH
308,688472.SH
309,688506.SH
310,688599.SH
311,688981.SH
